"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"	"log10_Adjusted"	"ONTOLOGY"
"GOCC_CELL_SUBSTRATE_JUNCTION"	"GOCC_CELL_SUBSTRATE_JUNCTION"	"CELL_SUBSTRATE_JUNCTION"	"106/1158"	"431/14332"	2.59380740526509e-26	1.46290737656951e-23	9.58343578155838e-24	"RHOA/ARPC5L/CSRP2/ACTN4/JUP/ARPC1B/SCARB2/RPS10/RPS7/RPL5/ARHGEF2/CALR/MMP14/PLEC/MYH9/ZNF185/ARF1/NCKAP1/RAC1/LASP1/RPS19/CAP1/GNA13/CSRP1/MME/MPRIP/CDH2/SORBS2/YWHAZ/RPL30/HSPA8/SYNPO2/RPS17/ATP6V0C/ACTG1/RPL19/HYOU1/CNN2/EPB41L2/NPHS1/CLASP2/FLNB/ANXA1/RPLP2/RPLP0/NPM1/P4HB/CAPN1/PFN1/ANXA6/RRAS/RALA/PABPC1/SRC/HSP90B1/HMGA1/TNC/YWHAQ/MARCKS/RPL12/PDIA3/ADD1/MAP2K2/RPL4/DNM2/CDC42/RAB10/ACTR3/RPS13/RPL7A/RPL10A/HSPG2/CLTC/LRP1/TWF1/G3BP1/PTK7/FHL1/FLNC/CNN3/MAPRE2/MAPRE1/MAPK1/RSU1/LIMA1/CTTN/ARPC2/CAPN2/RPS8/NCSTN/GNB2/EZR/RPS3A/CYFIP1/CLASP1/PALLD/EPHA2/CHP1/AIF1L/PARVA/HACD3/SRP68/RAB21/CORO1C/PPP1CC/CORO2B"	106	23.0184787630024	"CC"
"GOCC_PROTEASOME_COMPLEX"	"GOCC_PROTEASOME_COMPLEX"	"PROTEASOME_COMPLEX"	"35/1158"	"59/14332"	1.14491272982581e-23	3.22865389810879e-21	2.11507562194137e-21	"PSMB3/PSMC6/PSMD12/PSMC5/PSMA6/PSMD14/PSME1/PSMA2/PSMC4/PSMD5/PSMD7/USP14/ADRM1/PSMC2/PSMA4/PSME3/PSMD11/PSMA1/PSMB4/PSMB5/PSMD4/VCP/PSMA7/PSMD2/PSMD6/PSMB1/PSMC1/PSMF1/PSMA5/PSMA3/PSMD3/PSMD1/PSMD13/PSMD8/PSMC3"	35	20.6746741003434	"CC"
"GOCC_PROTEASOME_ACCESSORY_COMPLEX"	"GOCC_PROTEASOME_ACCESSORY_COMPLEX"	"PROTEASOME_ACCESSORY_COMPLEX"	"21/1158"	"23/14332"	2.07585451907188e-21	3.90260649585514e-19	2.55657872348853e-19	"PSMC6/PSMD12/PSMC5/PSMD14/PSME1/PSMC4/PSMD5/PSMD7/ADRM1/PSMC2/PSME3/PSMD11/PSMD4/PSMD2/PSMD6/PSMC1/PSMD3/PSMD1/PSMD13/PSMD8/PSMC3"	21	18.5923408297122	"CC"
"GOCC_SPLICEOSOMAL_COMPLEX"	"GOCC_SPLICEOSOMAL_COMPLEX"	"SPLICEOSOMAL_COMPLEX"	"60/1158"	"192/14332"	7.57387080411414e-21	1.06791578338009e-18	6.99586487432649e-19	"CTNNBL1/MYEF2/PRPF40A/SRRM1/SNIP1/SNRPA/SYNCRIP/SREK1/SF3A3/WBP11/HTATSF1/PRPF4B/CWC22/USP39/PRPF31/HSPA8/CCDC12/SRSF1/DHX8/TXNL4A/DHX15/SART1/PLRG1/AQR/SF3B1/HNRNPC/SNRPB2/PABPC1/SNRPB/RBM5/MFAP1/MAGOH/LSM3/SNRPD1/SNRPD2/HNRNPU/U2AF1/SF3B2/CIRBP/SF3B3/SF3A1/SF3B4/SNRPA1/RALY/CDC40/SNRPC/DHX35/RBM17/RHEB/PRPF8/CWC27/PHF5A/TFIP11/API5/PNN/XAB2/RBM22/ISY1/LUC7L2/SF3B6"	60	18.155158587544	"CC"
"GOCC_ENDOPEPTIDASE_COMPLEX"	"GOCC_ENDOPEPTIDASE_COMPLEX"	"ENDOPEPTIDASE_COMPLEX"	"37/1158"	"79/14332"	3.61265319830776e-20	4.07507280769116e-18	2.66956057390742e-18	"PSMB3/PSMC6/PSMD12/PSMC5/PSMA6/PSMD14/PSME1/PSMA2/PSMC4/PSMD5/PSMD7/USP14/ADRM1/PSMC2/PSMA4/PSME3/PSMD11/PSMA1/PSMB4/PSMB5/PSMD4/VCP/PSMA7/PSMD2/PSMD6/PSMB1/PSMC1/CAPN2/PSMF1/PSMA5/PSMA3/PSMD3/PSMD1/PSMD13/PSMD8/PSMC3/CAPNS1"	37	17.5735602202958	"CC"
"GOCC_PROTEASOME_REGULATORY_PARTICLE"	"GOCC_PROTEASOME_REGULATORY_PARTICLE"	"PROTEASOME_REGULATORY_PARTICLE"	"18/1158"	"19/14332"	3.34873997148083e-19	3.14781557319198e-17	2.06211882454346e-17	"PSMC6/PSMD12/PSMC5/PSMD14/PSMC4/PSMD7/ADRM1/PSMC2/PSMD11/PSMD4/PSMD2/PSMD6/PSMC1/PSMD3/PSMD1/PSMD13/PSMD8/PSMC3"	18	16.6856863131763	"CC"
"GOCC_PEPTIDASE_COMPLEX"	"GOCC_PEPTIDASE_COMPLEX"	"PEPTIDASE_COMPLEX"	"42/1158"	"111/14332"	1.9771879584603e-18	1.59304858367373e-16	1.04359845627002e-16	"PSMB3/PSMC6/PSMD12/PSMC5/PSMA6/PSMD14/PSME1/PSMA2/AFG3L2/PSMC4/PSMD5/PSMD7/USP14/SPCS2/ADRM1/PSMC2/PSMA4/SEC11A/PSME3/PSMD11/PSMA1/PSMB4/PSMB5/PSMD4/VCP/SPCS3/PSMA7/PSMD2/PSMD6/PSMB1/PSMC1/CAPN2/TRRAP/PSMF1/PSMA5/PSMA3/PSMD3/PSMD1/PSMD13/PSMD8/PSMC3/CAPNS1"	42	15.981466571996	"CC"
"GOCC_FICOLIN_1_RICH_GRANULE"	"GOCC_FICOLIN_1_RICH_GRANULE"	"FICOLIN_1_RICH_GRANULE"	"55/1158"	"185/14332"	4.17156879363093e-18	2.94095599950981e-16	1.9266061139006e-16	"ALDOC/RHOA/JUP/PSMD12/LTA4H/PSMD14/DDX3X/PSMA2/IMPDH2/RAC1/CAND1/IDH1/KPNB1/PSMD7/PRCP/PGM1/LAMP2/PSMC2/HSPA8/ATP6V0C/CTSD/MIF/PSMD11/ALDOA/CAPN1/HSP90AB1/XRCC6/EEF2/PKM/DSP/SRP14/ACTR1B/COPB1/VCP/CSNK2B/PSMD2/COTL1/PSMD6/MAPK1/PSMB1/EEF1A1/CCT8/UBR4/HMGB1/PSMA5/LAMTOR1/PGAM1/CSTB/HUWE1/ATP6V0A1/PSMD3/DBNL/PSMD13/DYNC1LI1/PSMC3"	55	15.7152070658556	"CC"
"GOCC_FICOLIN_1_RICH_GRANULE_LUMEN"	"GOCC_FICOLIN_1_RICH_GRANULE_LUMEN"	"FICOLIN_1_RICH_GRANULE_LUMEN"	"44/1158"	"124/14332"	5.44356597722569e-18	3.4113013457281e-16	2.23472708538739e-16	"ALDOC/JUP/PSMD12/LTA4H/PSMD14/DDX3X/PSMA2/IMPDH2/CAND1/IDH1/KPNB1/PSMD7/PGM1/PSMC2/HSPA8/CTSD/MIF/PSMD11/ALDOA/CAPN1/HSP90AB1/XRCC6/EEF2/PKM/SRP14/ACTR1B/VCP/CSNK2B/PSMD2/COTL1/PSMD6/MAPK1/PSMB1/EEF1A1/CCT8/HMGB1/PSMA5/PGAM1/CSTB/HUWE1/PSMD3/DBNL/PSMD13/PSMC3"	44	15.6507755072289	"CC"
"GOCC_CATALYTIC_STEP_2_SPLICEOSOME"	"GOCC_CATALYTIC_STEP_2_SPLICEOSOME"	"CATALYTIC_STEP_2_SPLICEOSOME"	"36/1158"	"87/14332"	1.77802200441305e-17	1.00280441048896e-15	6.56932340577874e-16	"SRRM1/SYNCRIP/SF3A3/PRPF4B/CWC22/SRSF1/DHX8/SART1/PLRG1/AQR/SF3B1/HNRNPC/SNRPB2/PABPC1/SNRPB/MAGOH/LSM3/SNRPD1/SNRPD2/HNRNPU/U2AF1/SF3B2/SF3B3/SF3A1/SNRPA1/RALY/CDC40/DHX35/PRPF8/CWC27/TFIP11/PNN/XAB2/RBM22/ISY1/SF3B6"	36	15.1824793574217	"CC"
"GOCC_U2_TYPE_SPLICEOSOMAL_COMPLEX"	"GOCC_U2_TYPE_SPLICEOSOMAL_COMPLEX"	"U2_TYPE_SPLICEOSOMAL_COMPLEX"	"35/1158"	"92/14332"	1.14310987609838e-15	5.86103609199531e-14	3.83953652163187e-14	"PRPF40A/SNIP1/SF3A3/HTATSF1/CWC22/PRPF31/CCDC12/DHX8/TXNL4A/SART1/PLRG1/AQR/SF3B1/SNRPB2/SNRPB/MFAP1/LSM3/SNRPD1/SNRPD2/SF3B2/SF3B3/SF3A1/SF3B4/SNRPA1/CDC40/SNRPC/PRPF8/CWC27/PHF5A/TFIP11/XAB2/RBM22/ISY1/LUC7L2/SF3B6"	35	13.4157211970507	"CC"
"GOCC_NUCLEAR_SPECK"	"GOCC_NUCLEAR_SPECK"	"NUCLEAR_SPECK"	"82/1158"	"410/14332"	7.57497462686906e-15	3.56023807462846e-13	2.33229481932548e-13	"SRSF4/GATAD2B/SART3/ZC3H13/TCERG1/AKAP8L/PRPF40A/SRRM1/PRKACA/SREK1/SF3A3/MBD1/DNAJC11/ACIN1/RING1/PSPC1/PRPF4B/CWC22/SRPK2/ZC3H18/PRPF31/CPSF6/SUMO1/BAZ2A/SRSF1/YTHDC1/DDX39A/SAP18/DHX15/SART1/PLRG1/SF3B1/PARN/LMNA/SNRPB2/SON/RBM25/MAGOH/BASP1/SARNP/HNRNPU/U2AF1/CKAP4/PRKAA1/SF3B2/PIN1/DYRK1A/WTAP/NONO/RNPS1/SF3A1/COPS4/SNRPA1/CDC40/EHMT2/SRSF10/HP1BP3/PRPF8/ZC3H14/PHF5A/PABPN1/THOC6/BRD1/DDX42/GATAD2A/SMC5/TFIP11/SRSF12/ATP6V0A1/THOC3/FYTTD1/RBM15/SRSF8/API5/PNN/BCLAF1/NXF1/NXT1/PPP1CC/THRAP3/LUC7L2/CHTOP"	82	12.6322165524064	"CC"
"GOCC_CHROMOSOMAL_REGION"	"GOCC_CHROMOSOMAL_REGION"	"CHROMOSOMAL_REGION"	"72/1158"	"366/14332"	8.26412438086925e-13	3.58535857754635e-11	2.348751139826e-11	"PTGES3/GATAD2B/LRWD1/SMC1A/PAFAH1B1/NUP160/PPP2R1A/SIN3A/KAT7/MEN1/CBX3/RCC2/SUGT1/SUMO3/MCM5/ZW10/MCM7/MCM2/PARP1/SSB/POLR2B/PDS5A/ZNF207/BUB3/XPO1/DYNC1LI2/KDM1A/CLASP2/XRCC6/XRCC5/MCM4/MSH2/CTCF/NUP98/NUP107/PRKDC/HNRNPU/CENPC/RBBP4/DCTN2/CKAP5/DCTN1/CHD4/MCM6/MCM3/XRCC1/PCNA/FEN1/CDC73/WDR82/CLASP1/CENPV/THOC6/PHF6/SMC5/TFIP11/NUP37/NUP133/AHCTF1/PPP2CB/HDAC2/RAD50/SEH1L/THOC3/NUP85/NAT10/PDS5B/GAR1/PPP1CC/SMC3/DYNC1LI1/DNMT3A"	72	10.6291629961325	"CC"
"GOCC_PIGMENT_GRANULE"	"GOCC_PIGMENT_GRANULE"	"PIGMENT_GRANULE"	"34/1158"	"109/14332"	2.31352424695293e-12	9.32019768058179e-11	6.10561662165772e-11	"TMED10/RAB7A/AHCY/PRDX1/PDIA6/MMP14/MYH11/RAC1/SND1/CALU/GNA13/RAN/CCT4/YWHAZ/RAB1A/HSPA8/NAP1L1/CTSD/SEC22B/ATP1A1/P4HB/ANXA6/HSP90AB1/HSP90B1/RAB5A/CANX/PDIA3/FASN/CLTC/GANAB/NCSTN/RPN1/ATP6V0A1/MYO5A"	34	10.2142704690065	"CC"
"GOCC_NUCLEAR_ENVELOPE"	"GOCC_NUCLEAR_ENVELOPE"	"NUCLEAR_ENVELOPE"	"84/1158"	"479/14332"	6.67079517801949e-12	2.50821898693533e-10	1.64312218069112e-10	"TMEM43/ENO1/SCRN1/RANBP1/GNAQ/MYO6/CSE1L/PAFAH1B1/KPNA4/CALR/GLE1/NUP160/CBX3/NUP35/XPOT/VAPA/MATR3/UTP18/KPNB1/RRP12/PARP1/TMEM109/RAN/MTA1/MYO1C/SUMO1/UBE2I/ARL6IP6/EIF5A/TXNL4A/IPO5/KPNA3/XPO1/PGRMC2/PLRG1/ZMPSTE24/SUN1/IPO7/LMNA/TUBB/CETN2/NUP153/RANBP2/SULT1E1/NUP98/NUP107/RAE1/BAX/DCTN1/WTAP/MGST3/AAAS/ABCF1/TMEM201/CLIC1/WDR3/CACYBP/CENPV/MTDH/LEMD2/NUP37/NUP210/NUP133/AHCTF1/NUP205/LRRC59/SEH1L/IPO9/RBM15/NUP88/MGST2/CPNE1/NDC1/NUP85/OSBPL8/RTN4/HACD3/DHCR7/NXF1/SH3BGRL2/NXT1/NUP50/LEMD3/RTCB"	84	9.78433014172193	"CC"
"GOCC_ACTIN_CYTOSKELETON"	"GOCC_ACTIN_CYTOSKELETON"	"ACTIN_CYTOSKELETON"	"85/1158"	"494/14332"	1.4011008382814e-11	4.93888045494194e-10	3.23543680418929e-10	"TNKS1BP1/ARPC5L/TJP1/TPM1/ACTN4/JUP/ARPC1A/ARPC1B/MYO6/ARHGAP35/FSCN1/MYH11/MYH9/ZNF185/NCKAP1/RAC1/LASP1/CAPZB/CAP1/MPRIP/CDH2/SORBS2/TWF2/MYO1C/SYNPO2/CDC42BPB/MYL4/ACTG1/MYL12A/CNN2/EPB41L2/WDR1/FLNB/NPM3/MYO1D/ALDOA/ANXA1/HNRNPC/MYH3/SRC/PLS3/RAB5A/CTNNA2/MARCKS/MYH10/ADD1/ACTR1B/ACTR3/CALD1/CGNL1/TWF1/ACACA/DCTN2/COTL1/LLGL1/CNN3/MYO1E/VIL1/LIMA1/CTTN/EEF1A1/ARPC2/CAPN2/CROCC/DPYSL3/CLIC4/EZR/MYL9/MYH14/SYNPO/PALLD/PDLIM2/PPP1R9B/AIF1L/NDC1/NCOA5/PARVA/VPS18/DBNL/CORO1C/LIMCH1/CORO2B/SH3GL1/MYO5A/ACTR1A"	85	9.49006707856775	"CC"
"GOCC_NUCLEAR_PORE"	"GOCC_NUCLEAR_PORE"	"NUCLEAR_PORE"	"30/1158"	"93/14332"	1.74877934537762e-11	5.80183265172341e-10	3.8007526329879e-10	"RANBP1/GLE1/NUP160/NUP35/XPOT/KPNB1/RAN/MYO1C/SUMO1/EIF5A/IPO5/KPNA3/IPO7/CETN2/NUP153/RANBP2/NUP98/NUP107/RAE1/AAAS/NUP37/NUP210/NUP133/NUP205/SEH1L/NUP88/NDC1/NUP85/NXF1/NXT1"	30	9.42013039496524	"CC"
"GOCC_PRECATALYTIC_SPLICEOSOME"	"GOCC_PRECATALYTIC_SPLICEOSOME"	"PRECATALYTIC_SPLICEOSOME"	"22/1158"	"53/14332"	3.06375021163639e-11	9.59975066312735e-10	6.28875043441153e-10	"SNIP1/SF3A3/CWC22/PRPF31/TXNL4A/SART1/SF3B1/SNRPB2/SNRPB/MFAP1/LSM3/SNRPD1/SNRPD2/SF3B2/SF3B3/SF3A1/SF3B4/SNRPA1/PRPF8/CWC27/PHF5A/SF3B6"	22	9.20143563966619	"CC"
"GOCC_NUCLEAR_PERIPHERY"	"GOCC_NUCLEAR_PERIPHERY"	"NUCLEAR_PERIPHERY"	"35/1158"	"127/14332"	5.60462923856878e-11	1.66368994239621e-09	1.08987527021476e-09	"UHRF1/PSMA6/SMC1A/AKAP8L/PRPF40A/SRRM1/MEN1/XPOT/MATR3/DCAF7/MBD1/PSPC1/RUVBL1/PHB2/CAD/KIN/LMNA/NUP153/NUP98/EIF6/NUP107/BASP1/HNRNPU/NUMA1/NONO/ZNF326/PCNA/CLIC4/EBNA1BP2/PHF5A/AHCTF1/NUP205/SMC3/RUVBL2/DNMT3A"	35	8.96262320165298	"CC"
